0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
160,21,0,0,1,0,3,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0
15,181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0,0,193,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
0,0,0,135,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
1,1,0,8,184,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,137,0,0,0,0,10,4,0,0,18,14,0,0,7,0,1,2,0,0,6,1,0,0,0
2,2,0,0,0,0,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
0,0,1,0,0,0,0,152,0,0,0,0,0,0,0,0,1,0,2,0,0,0,21,0,0,14,0,0,9
0,0,0,0,0,0,0,1,182,7,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,8,138,1,1,0,0,0,1,0,0,0,1,15,27,0,1,6,1,0,0,0
0,0,0,0,0,5,0,0,3,2,122,19,0,2,25,7,0,0,3,0,9,1,0,0,0,1,0,0,1
0,0,0,0,0,6,0,0,1,1,19,156,0,0,4,5,0,0,0,0,3,0,0,0,3,2,0,0,0
4,0,0,0,0,0,1,0,0,0,0,0,186,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,2,0,0,189,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2
0,0,0,0,0,16,0,0,0,1,34,15,0,1,92,9,0,0,11,0,2,0,0,0,10,9,0,0,0
0,0,0,0,0,30,0,0,0,5,19,15,0,0,18,46,0,0,10,0,5,1,0,0,50,1,0,0,0
9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,3,0,0,1,1,0
0,0,1,0,0,5,0,4,0,0,1,0,0,2,3,0,0,0,166,0,1,0,10,0,2,4,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,194,1,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,7,12,9,8,0,2,0,3,0,0,0,0,136,4,0,0,14,0,0,0,0
0,0,0,0,0,2,0,0,2,20,2,0,0,0,0,0,0,0,0,0,15,158,0,0,0,1,0,0,0
0,0,1,0,0,0,0,26,1,0,0,0,1,0,0,0,0,0,6,0,0,0,118,0,0,8,0,0,39
0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0
0,0,0,0,0,15,0,0,1,13,11,14,0,0,8,25,0,0,4,0,19,0,0,1,89,0,0,0,0
0,0,2,0,0,0,0,10,0,1,4,2,0,2,2,0,0,0,2,0,3,0,12,0,1,152,0,0,7
0,1,0,112,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,198,0
0,0,0,0,0,0,0,7,0,0,2,0,0,3,0,0,0,0,3,0,0,0,25,0,0,2,0,0,158
