,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,155,18,0,0,0,0,20,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,24,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,197,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,1,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1
4,0,0,2,3,184,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1
5,0,0,0,0,0,64,0,0,0,1,9,19,0,0,30,43,0,0,0,2,1,0,1,0,29,1,0,0,0
6,1,1,0,0,1,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0,0,1,0,0,0,0,148,0,0,0,0,0,1,0,0,0,0,2,0,0,0,29,0,0,4,0,0,15
8,0,0,0,0,0,1,0,0,99,31,1,0,0,10,0,0,0,0,2,4,2,49,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,48,62,5,1,0,0,0,0,0,0,1,0,38,44,0,0,1,0,0,0,0
10,0,0,0,0,0,9,0,0,3,10,83,0,0,12,36,10,0,0,22,0,2,0,0,0,11,2,0,0,0
11,0,0,0,0,0,9,0,0,0,2,1,152,0,1,0,8,0,0,0,0,4,0,0,0,22,1,0,0,0
12,0,0,0,0,0,0,35,0,0,0,0,0,156,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0
13,0,0,0,0,0,0,0,0,9,2,5,0,0,128,0,0,1,0,24,31,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,43,1,0,0,3,39,5,0,0,68,23,0,0,9,0,1,0,0,0,7,1,0,0,0
15,0,0,0,0,0,36,0,0,0,2,21,22,0,0,20,44,0,1,0,0,6,0,0,0,44,4,0,0,0
16,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,186,1,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0
18,0,0,0,0,0,1,0,0,0,0,9,0,0,13,21,0,0,0,119,0,0,0,6,0,2,25,0,0,4
19,1,0,0,0,0,0,0,0,9,1,1,0,0,11,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,1,0,0,1,34,3,4,0,0,1,0,0,0,0,0,145,5,0,0,6,0,0,0,0
21,0,0,0,0,0,0,0,0,18,6,1,0,0,1,1,0,0,0,0,0,14,159,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,39,0,0,2,0,0,1,0,0,0,0,7,0,0,0,100,0,0,18,0,0,33
23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0
24,0,0,0,0,0,31,0,1,0,3,12,46,0,0,7,35,0,0,0,0,8,0,0,0,57,0,0,0,0
25,0,0,0,0,0,4,0,7,0,0,2,0,0,0,6,0,0,0,12,0,0,0,26,0,0,142,0,0,1
26,0,0,0,51,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,144,0,0
27,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0
28,0,0,12,0,0,0,0,39,0,0,0,0,0,3,0,0,0,0,6,0,0,0,6,0,0,0,0,0,134
