0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
152,34,0,0,0,0,4,0,0,0,0,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
26,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
0,0,0,4,189,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0
0,0,0,0,0,143,0,0,0,0,12,4,0,0,13,15,0,0,2,0,0,0,0,0,11,0,0,0,0
1,2,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
0,0,1,0,0,0,0,143,0,0,0,0,0,1,0,0,0,0,2,0,0,0,11,0,0,7,0,0,35
0,0,2,0,0,0,0,0,181,6,1,0,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,166,2,0,0,1,0,0,0,0,0,1,22,7,0,0,0,0,0,0,0
0,0,0,0,0,13,0,0,2,6,131,1,0,1,14,8,0,0,6,0,6,5,0,0,5,2,0,0,0
0,0,0,0,0,8,0,0,0,1,1,161,0,0,1,7,0,0,1,0,1,0,0,0,19,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,190,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,0
0,0,2,0,0,0,0,0,5,0,0,0,0,181,1,0,0,0,3,2,2,0,0,0,3,1,0,0,0
0,0,0,0,0,18,0,0,0,0,15,5,0,0,137,12,0,0,5,0,0,0,1,1,2,4,0,0,0
0,0,0,0,0,25,0,0,1,1,11,15,0,0,6,55,0,0,2,0,2,1,1,0,76,4,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,188,2,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,195,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,4,0,1,0,0,3,0,0,0,1,2,0,0,172,0,0,0,7,0,1,7,0,0,1
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,195,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,4,11,5,5,0,1,0,0,0,0,0,1,165,0,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,5,13,4,0,0,0,0,0,0,0,0,1,2,175,0,0,0,0,0,0,0
0,0,4,0,0,0,0,19,0,0,0,0,0,1,0,1,0,0,8,0,0,0,137,0,0,11,0,0,19
0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,194,0,0,0,0,0
0,0,0,0,0,3,0,0,1,1,4,16,0,2,2,24,0,0,2,0,9,0,0,0,134,2,0,0,0
0,0,1,0,0,0,0,19,0,0,4,0,0,1,7,1,0,0,0,0,0,0,11,0,1,153,0,0,2
0,0,1,57,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,195,0
0,0,7,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,2,1,0,170
