,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,161,21,0,1,0,0,4,0,0,0,0,0,2,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0
1,51,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,2
3,0,0,0,184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
4,0,1,0,15,180,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
5,0,0,0,0,1,161,0,0,1,0,10,1,0,2,6,9,0,0,1,1,0,2,0,0,5,0,0,0,0
6,2,1,0,1,0,0,191,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
7,0,0,2,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,4,0,0,8
8,0,0,0,0,0,0,0,0,196,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,3,171,1,0,0,0,0,0,0,0,0,2,3,19,0,0,1,0,0,0,0
10,0,0,0,0,0,4,0,0,1,0,164,4,0,1,10,3,0,0,8,0,1,1,1,0,0,1,0,0,1
11,0,0,0,0,0,6,0,0,0,0,3,167,0,1,6,3,0,0,0,0,2,0,0,0,8,3,0,0,1
12,1,0,0,0,0,0,0,0,1,0,0,0,196,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0
14,0,0,0,0,0,11,0,0,0,1,11,4,0,0,154,7,0,0,3,0,1,1,1,0,3,2,0,0,1
15,0,0,0,0,0,45,0,0,5,4,14,7,0,0,9,62,0,0,6,0,3,1,0,0,44,0,0,0,0
16,8,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,195,0,0,0,0,0,2,0,0,0,0,0
18,0,0,2,0,0,2,0,0,0,0,1,0,0,2,0,1,0,0,181,1,0,0,8,0,0,2,0,0,0
19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,196,0,1,0,0,0,0,0,0,0
20,0,0,0,0,0,2,0,0,2,13,0,4,0,1,0,0,0,0,1,0,163,3,0,0,11,0,0,0,0
21,0,0,0,0,0,0,0,0,3,13,1,0,0,0,0,0,0,0,0,1,0,181,0,0,1,0,0,0,0
22,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,173,0,0,3,0,0,6
23,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,1
24,0,0,0,0,0,18,0,0,1,3,3,8,0,2,5,31,0,0,0,0,6,2,0,0,121,0,0,0,0
25,0,0,1,0,0,0,0,13,0,0,0,0,0,1,5,0,0,0,3,1,0,0,13,0,0,159,0,0,4
26,0,0,0,145,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0
27,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197,0
28,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,1,0,0,178
