,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,109,64,0,0,1,0,18,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
1,10,187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,192,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2
3,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0
4,0,0,0,10,175,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0
5,0,0,0,0,0,92,0,0,0,2,20,8,0,2,4,56,0,0,3,0,1,0,4,0,7,1,0,0,0
6,2,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
7,0,0,5,0,0,0,0,128,1,0,1,0,0,0,0,0,0,0,0,1,0,0,34,0,0,4,0,0,26
8,0,0,0,0,0,0,0,0,196,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,2,166,1,0,0,0,0,0,0,0,0,1,12,17,0,0,0,1,0,0,0
10,0,0,0,0,0,1,0,0,2,3,174,0,0,0,2,8,0,0,1,0,4,1,1,0,0,3,0,0,0
11,0,0,0,0,0,2,0,0,1,0,6,157,0,1,2,7,0,0,0,0,5,0,0,0,15,3,1,0,0
12,2,1,0,0,0,1,1,0,0,0,0,0,175,0,0,0,2,15,0,0,0,0,0,3,0,0,0,0,0
13,0,0,0,0,0,0,0,0,2,0,0,0,0,188,0,0,0,0,5,3,0,0,1,0,1,0,0,0,0
14,0,0,0,0,0,5,0,0,3,0,41,3,0,0,124,10,0,1,3,1,1,0,3,0,3,2,0,0,0
15,0,1,0,0,0,3,0,0,1,0,7,8,0,2,3,118,0,0,0,0,5,1,0,0,51,0,0,0,0
16,8,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,169,0,0,0,11,0,2,2,0,0,2
19,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,195,0,1,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,1,0,0,1,0,173,3,1,0,6,1,0,0,0
21,0,0,0,0,0,0,0,0,7,8,1,0,0,0,0,0,0,0,0,1,2,181,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,186,0,0,1,0,0,8
23,0,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0
24,0,0,0,0,1,3,0,0,3,8,7,4,0,4,2,34,0,0,0,0,13,0,0,0,120,1,0,0,0
25,0,0,2,0,0,0,0,2,1,0,3,0,0,0,1,0,0,0,1,0,0,0,16,0,1,161,0,0,12
26,0,1,0,92,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,101,0,0
27,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0
28,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,0,0,6,0,0,174
