0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
171,16,0,0,0,0,2,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0
24,171,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0,0,191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,1
0,0,0,136,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0
1,0,1,5,185,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
0,0,0,0,0,136,0,0,0,1,4,2,0,0,22,19,0,0,6,0,2,1,0,0,7,0,0,0,0
0,1,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
0,0,5,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,13,0,0,12
0,0,0,0,0,0,0,0,184,2,0,0,0,4,0,0,0,0,0,0,1,4,4,0,0,0,0,0,1
0,0,0,0,0,1,0,0,3,156,2,1,0,1,2,0,0,0,0,1,11,16,1,0,3,1,0,1,0
0,0,0,0,0,3,0,0,0,2,121,13,0,2,20,13,0,0,3,0,16,0,1,0,3,3,0,0,0
0,0,0,0,0,5,0,0,0,0,10,167,0,0,5,6,0,0,0,0,1,0,0,0,5,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,192,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,189,0,0,0,0,3,1,1,1,0,0,2,0,0,0,0
0,0,0,0,0,22,0,1,1,1,17,12,0,0,111,11,0,0,12,0,0,0,0,0,9,3,0,0,0
0,0,0,0,0,23,0,0,0,3,12,13,0,0,17,76,0,0,3,0,6,0,2,0,43,2,0,0,0
8,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,2,192,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,2,0,4,0,0,2,0,0,1,3,2,0,0,166,1,1,0,12,0,5,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,192,1,0,1,0,0,0,0,0,1
0,0,0,0,0,2,0,0,3,19,11,6,0,2,0,4,0,0,1,0,133,3,4,0,12,0,0,0,0
0,0,0,0,0,2,0,0,5,23,0,0,0,0,1,0,0,0,0,0,5,163,1,0,0,0,0,0,0
0,0,0,0,0,0,0,19,1,0,1,0,0,1,0,0,0,0,7,0,0,0,146,0,0,6,0,0,19
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,197,0,0,0,0,0
0,0,0,0,0,9,0,0,1,7,7,23,0,1,5,37,0,0,2,0,9,1,0,0,98,0,0,0,0
0,0,1,0,0,0,0,14,0,0,0,0,0,2,1,0,0,0,2,0,0,0,9,0,1,168,0,0,2
0,0,0,60,4,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,128,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,198,0
0,0,0,0,0,0,0,10,1,0,0,0,0,4,1,0,0,0,1,0,0,0,21,0,1,9,0,0,152
